cycle,range_bin,doppler_bin,output_hex
1060495000,6,14,ff8eff27
1060505000,6,15,00ed00e5
1062385000,6,16,0053ffd4
1062395000,6,17,ff90000b
1062405000,6,18,00f40139
1062415000,6,19,ff43fd97
1062425000,6,20,02a2022c
1062435000,6,21,fb00fe91
1062445000,6,22,036c0250
1062455000,6,23,ff0dfde6
1062465000,6,24,021dff70
1062475000,6,25,fccc01bd
1062485000,6,26,017eff43
1062495000,6,27,ff3d00a5
1062505000,6,28,ff7eff2c
1062515000,6,29,01c8ff53
1062525000,6,30,00720178
1062535000,6,31,ff2fffa2
1064415000,7,0,00390021
1064425000,7,1,ffebffe1
1064435000,7,2,ff0dfe43
1064445000,7,3,02fa0231
1064455000,7,4,fc1001aa
1064465000,7,5,02eafb6d
1064475000,7,6,fde3015d
1064485000,7,7,011a0181
1064495000,7,8,0033ff1b
1064505000,7,9,fd91021b
1064515000,7,10,033dfdd3
1064525000,7,11,fea2ffcb
1064535000,7,12,006c01fa
1064545000,7,13,fffafe33
1064555000,7,14,000b00b5
1064565000,7,15,ffcaffdf
1066445000,7,16,0001ffb9
1066455000,7,17,ff7900fb
1066465000,7,18,00fdff0a
1066475000,7,19,ff30ffee
1066485000,7,20,ff8d017e
1066495000,7,21,028bfe6a
1066505000,7,22,fb8f00ba
1066515000,7,23,02fdff37
1066525000,7,24,ff4700f9
1066535000,7,25,fde30025
1066545000,7,26,018dfe9e
1066555000,7,27,00e600ba
1066565000,7,28,fdc3ff54
1066575000,7,29,027d009e
1066585000,7,30,ff0f0122
1066595000,7,31,0029ff81
1068475000,8,0,fff8001d
1068485000,8,1,00500017
1068495000,8,2,0020fe41
1068505000,8,3,feb8030d
1068515000,8,4,0181fde1
1068525000,8,5,016400dd
1068535000,8,6,fbe7fff9
1068545000,8,7,01a1fcba
1068555000,8,8,033e044f
1068565000,8,9,fc22fe97
1068575000,8,10,fe94009b
1068585000,8,11,03a0fc75
1068595000,8,12,fe31066b
1068605000,8,13,0162fb7d
1068615000,8,14,ff050173
1068625000,8,15,0047ffbc
1070505000,8,16,ffc7ffd8
1070515000,8,17,ff09000e
1070525000,8,18,02450011
1070535000,8,19,fefb0140
1070545000,8,20,feb8fd04
1070555000,8,21,ff280566
1070565000,8,22,004df9d4
1070575000,8,23,02fe0138
1070585000,8,24,fef702f2
1070595000,8,25,fd03fe0a
1070605000,8,26,021f00dd
1070615000,8,27,ffaffd78
1070625000,8,28,00a203d6
1070635000,8,29,ffb8feba
1070645000,8,30,ff4fffaa
1070655000,8,31,00a40038
1072535000,9,0,001affd9
1072545000,9,1,00200089
1072555000,9,2,0053fdce
1072565000,9,3,ffbf0336
1072575000,9,4,ffeffd64
1072585000,9,5,fec601ef
1072595000,9,6,0109ff38
1072605000,9,7,0256fec0
1072615000,9,8,fe5401bb
1072625000,9,9,fd14ff05
1072635000,9,10,02230030
1072645000,9,11,0191ff94
1072655000,9,12,fe4b01fc
1072665000,9,13,ffd2fdc7
1072675000,9,14,01010126
1072685000,9,15,ff66ffe2
1074565000,9,16,ffbb0032
1074575000,9,17,ffe9ff00
1074585000,9,18,ffdd01f6
1074595000,9,19,00c9fec2
1074605000,9,20,015801ad
1074615000,9,21,f949fe9f
1074625000,9,22,05cbfe57
1074635000,9,23,fd2f020a
1074645000,9,24,03f9ffde
1074655000,9,25,fadf0014
1074665000,9,26,02a3ff22
1074675000,9,27,0049ffa0
1074685000,9,28,fef80257
1074695000,9,29,00a3fee5
1074705000,9,30,ff59000d
1074715000,9,31,0063ffdc
1076595000,10,0,0017ffff
1076605000,10,1,ff6f00a6
1076615000,10,2,015cfe5b
1076625000,10,3,ff24013c
1076635000,10,4,ff7a009f
1076645000,10,5,002fffe2
1076655000,10,6,ff20fda4
1076665000,10,7,04ad0291
1076675000,10,8,fc53ffbf
1076685000,10,9,fd63fd58
1076695000,10,10,04380279
1076705000,10,11,fe08ffb0
1076715000,10,12,002c0063
1076725000,10,13,00cbfea8
1076735000,10,14,ff3401d0
1076745000,10,15,0063fef3
1078625000,10,16,0016fff6
1078635000,10,17,ff19ff89
1078645000,10,18,01810262
1078655000,10,19,feb5fd68
1078665000,10,20,01ee01a5
1078675000,10,21,faf90129
1078685000,10,22,03d6fab4
1078695000,10,23,00f40372
1078705000,10,24,fed0feac
1078715000,10,25,fe150305
1078725000,10,26,0245fe54
1078735000,10,27,fff9ffa4
1078745000,10,28,feec01cd
1078755000,10,29,002dfe59
1078765000,10,30,ffc4010a
1078775000,10,31,003affba
1080655000,11,0,006e001a
1080665000,11,1,ff8e0062
1080675000,11,2,001dfe83
1080685000,11,3,006301ea
1080695000,11,4,001500ac
1080705000,11,5,fe8afe41
1080715000,11,6,0235fecd
1080725000,11,7,003c0102
1080735000,11,8,fc400396
1080745000,11,9,04def99c
1080755000,11,10,fc57048f
1080765000,11,11,0081fdd8
1080775000,11,12,017d0110
1080785000,11,13,fef2ffdd
1080795000,11,14,001f0065
1080805000,11,15,fff0ff70
1082685000,11,16,ff7fffd4
1082695000,11,17,ff58ff40
1082705000,11,18,028902a0
1082715000,11,19,fca0fd55
1082725000,11,20,01e50184
1082735000,11,21,fd76005b
1082745000,11,22,01d9fd1c
1082755000,11,23,00d30044
1082765000,11,24,fd710210
1082775000,11,25,02c0ffd8
1082785000,11,26,ffb5fee8
1082795000,11,27,ff3affff
1082805000,11,28,00330264
1082815000,11,29,fecefebd
1082825000,11,30,00b1ff30
1082835000,11,31,007700c8
1084715000,12,0,00060041
1084725000,12,1,007dff8b
1084735000,12,2,fe8dff98
1084745000,12,3,02c6015b
1084755000,12,4,fc2e0098
1084765000,12,5,0378fe4f
1084775000,12,6,fef8fc43
1084785000,12,7,ff1405e1
1084795000,12,8,ffce0059
1084805000,12,9,ff3ffad1
1084815000,12,10,02b5044e
1084825000,12,11,fd1afe7b
1084835000,12,12,02aa0106
1084845000,12,13,fe34ff51
1084855000,12,14,00ea003f
1084865000,12,15,ffd4ffad
1086745000,12,16,ffc3ffd0
1086755000,12,17,ff7e000c
1086765000,12,18,026700c8
1086775000,12,19,fdc5ff4c
1086785000,12,20,005a00b6
1086795000,12,21,fe2001fb
1086805000,12,22,0145f987
1086815000,12,23,01460570
1086825000,12,24,fee5fe36
1086835000,12,25,fee400c4
1086845000,12,26,01fffd1c
1086855000,12,27,fe7d034a
1086865000,12,28,01d2ffa4
1086875000,12,29,fe02ff39
1086885000,12,30,012100c5
1086895000,12,31,ffb4ffe6
1088775000,13,0,00510002
1088785000,13,1,ff93ff34
1088795000,13,2,ff1f0091
1088805000,13,3,01f6ffc4
1088815000,13,4,fef40137
1088825000,13,5,008a0107
1088835000,13,6,ffd2fb8b
1088845000,13,7,fe1101a1
1088855000,13,8,04f1029e
1088865000,13,9,fb11feb6
1088875000,13,10,011ffdbb
1088885000,13,11,01ac0330
1088895000,13,12,fdfefd99
1088905000,13,13,01b20203
1088915000,13,14,ff5cfe71
1088925000,13,15,ffcd00bf
1090805000,13,16,003fff78
1090815000,13,17,ff120109
1090825000,13,18,02f1fec6
1090835000,13,19,fc88007b
1090845000,13,20,03e7ffb8
1090855000,13,21,fb0a0229
1090865000,13,22,03a1fd95
1090875000,13,23,00010040
1090885000,13,24,ff6d0144
1090895000,13,25,fed2ff89
1090905000,13,26,ff5dff2c
1090915000,13,27,0112fff3
1090925000,13,28,01490194
1090935000,13,29,ff82ff21
1090945000,13,30,00150069
1090955000,13,31,ffd5004e
1092835000,14,0,ff8affb9
1092845000,14,1,00fc0054
1092855000,14,2,ff14fefe
1092865000,14,3,017e028a
1092875000,14,4,fde3fc9b
1092885000,14,5,028b0178
1092895000,14,6,fbda0173
1092905000,14,7,061efc63
1092915000,14,8,fcf8032d
1092925000,14,9,fde8fea6
1092935000,14,10,00a8ff08
1092945000,14,11,0236006e
1092955000,14,12,fe6701d7
1092965000,14,13,ff41ff4e
1092975000,14,14,0116ff5f
1092985000,14,15,000600b5
1094865000,14,16,0020001c
1094875000,14,17,ff0dffde
1094885000,14,18,02c60027
1094895000,14,19,fb420001
1094905000,14,20,04ef00a2
1094915000,14,21,fb8e00b1
1094925000,14,22,02e0fb2b
1094935000,14,23,00690239
1094945000,14,24,fdea02c2
1094955000,14,25,ff81fd2e
1094965000,14,26,001a002d
1094975000,14,27,02a2013b
1094985000,14,28,fe67fea8
1094995000,14,29,ff3c013f
1095005000,14,30,00800011
1095015000,14,31,ffcbff97
1096895000,15,0,0019ffe1
1096905000,15,1,ff22ffdd
1096915000,15,2,01ceff14
1096925000,15,3,fe9f0168
1096935000,15,4,023d0036
1096945000,15,5,fb31fe88
1096955000,15,6,04900010
1096965000,15,7,feabffb6
1096975000,15,8,012500c3
1096985000,15,9,fb3c00a9
1096995000,15,10,02f8fee8
1097005000,15,11,02350044
1097015000,15,12,fcad007e
1097025000,15,13,0195ffe2
1097035000,15,14,ff82ffec
1097045000,15,15,005d005e
1098925000,15,16,001dffd9
1098935000,15,17,ff03feed
1098945000,15,18,020101e0
1098955000,15,19,fdabff44
1098965000,15,20,0277ffff
1098975000,15,21,fb7601a9
1098985000,15,22,0245fc38
1098995000,15,23,01f9016b
1099005000,15,24,fef10077
1099015000,15,25,fd7d0073
1099025000,15,26,025ffffe
1099035000,15,27,fe91ff04
1099045000,15,28,019302a5
1099055000,15,29,ff36fe4b
1099065000,15,30,ffe3ffde
1099075000,15,31,ffef00b1
1100955000,16,0,ffccffd9
1100965000,16,1,01070063
1100975000,16,2,ff32fe4f
1100985000,16,3,ff7c0349
1100995000,16,4,001afd11
1101005000,16,5,030001e0
1101015000,16,6,fc0dfebf
1101025000,16,7,0238fd1e
1101035000,16,8,ff86050d
1101045000,16,9,fdadfed7
1101055000,16,10,02e2fe19
1101065000,16,11,fee6ff8f
1101075000,16,12,ff600389
1101085000,16,13,0100fe2a
1101095000,16,14,ffa3ffe1
1101105000,16,15,0022003e
1102985000,16,16,0003ffb4
1102995000,16,17,feaaff8a
1103005000,16,18,032901ce
1103015000,16,19,fc5bfe22
1103025000,16,20,013a007e
1103035000,16,21,ff120327
1103045000,16,22,0060f98f
1103055000,16,23,020e02d2
1103065000,16,24,fe930312
1103075000,16,25,fcb8fb46
1103085000,16,26,03ed01b2
1103095000,16,27,fe57ffd4
1103105000,16,28,02580204
1103115000,16,29,fe40fee1
1103125000,16,30,ff92ff99
1103135000,16,31,006c00b0
1105015000,17,0,001bfff0
1105025000,17,1,0008ff7a
1105035000,17,2,0043ff39
1105045000,17,3,fe5c0336
1105055000,17,4,0327fd05
1105065000,17,5,fd730201
1105075000,17,6,0101fddb
1105085000,17,7,feeeff5a
1105095000,17,8,02c50250
1105105000,17,9,fc5a01e2
1105115000,17,10,017dfaef
1105125000,17,11,005201d0
1105135000,17,12,ffb901bb
1105145000,17,13,0013ff8b
1105155000,17,14,0007ff1d
1105165000,17,15,fff40098
1107045000,17,16,ffa5ffb1
1107055000,17,17,007f003d
1107065000,17,18,ff5100f3
1107075000,17,19,0164ff40
1107085000,17,20,fd73008f
1107095000,17,21,00760136
1107105000,17,22,0091fc2a
1107115000,17,23,0101025d
1107125000,17,24,ff13fdad
1107135000,17,25,fec905f9
1107145000,17,26,0069fa0d
1107155000,17,27,01f8021c
1107165000,17,28,ff71011b
1107175000,17,29,ffc2ffb0
1107185000,17,30,ff290016
1107195000,17,31,00a3fff3
1109075000,18,0,ffee0007
1109085000,18,1,00ad0012
1109095000,18,2,ff2aff21
1109105000,18,3,002400b9
1109115000,18,4,00a300df
1109125000,18,5,ffdaff18
1109135000,18,6,fc78fddb
1109145000,18,7,06270337
1109155000,18,8,fd6800ab
1109165000,18,9,fcfbfd42
1109175000,18,10,051cffd5
1109185000,18,11,fb8200cb
1109195000,18,12,025b01e7
1109205000,18,13,ff7efdfc
1109215000,18,14,002600e7
1109225000,18,15,fffbffad
1111105000,18,16,ff510020
1111115000,18,17,fed4ff91
1111125000,18,18,02fb011c
1111135000,18,19,fe3dfe99
1111145000,18,20,ff56027e
1111155000,18,21,ff80febe
1111165000,18,22,000fff5f
1111175000,18,23,00f7ff66
1111185000,18,24,00c70228
1111195000,18,25,fc8afedb
1111205000,18,26,01ddfe18
1111215000,18,27,ff9f0231
1111225000,18,28,0156fffa
1111235000,18,29,ff96fffa
1111245000,18,30,fe5dffd5
1111255000,18,31,01b10014
1113135000,19,0,ffd50063
1113145000,19,1,007aff81
1113155000,19,2,ff4bff80
1113165000,19,3,013e006e
1113175000,19,4,fd94020a
1113185000,19,5,0334fed7
1113195000,19,6,fa73fcd5
1113205000,19,7,08e40354
1113215000,19,8,f9f30087
1113225000,19,9,ff64ff13
1113235000,19,10,02edfd88
1113245000,19,11,fe2601b2
1113255000,19,12,0014017c
1113265000,19,13,00b2fefd
1113275000,19,14,ffb50053
1113285000,19,15,0024ff84
1115165000,19,16,ffba0034
1115175000,19,17,0010fff7
1115185000,19,18,00910182
1115195000,19,19,fe95fd97
1115205000,19,20,00510179
1115215000,19,21,02a900b1
1115225000,19,22,fca2ff17
1115235000,19,23,ffc2ffaa
1115245000,19,24,fed00066
1115255000,19,25,0414fe81
1115265000,19,26,fe4b027a
1115275000,19,27,000dfccf
1115285000,19,28,001503fd
1115295000,19,29,ffdffda3
1115305000,19,30,ffa201c5
1115315000,19,31,0060feec
1117195000,20,0,ffec003b
1117205000,20,1,005bff9f
1117215000,20,2,ff65ff6c
1117225000,20,3,00bd015d
1117235000,20,4,ff010043
1117245000,20,5,0100fef8
1117255000,20,6,fe1aff3e
1117265000,20,7,03a2ffe9
1117275000,20,8,fecc0381
1117285000,20,9,fc29fc01
1117295000,20,10,038f0154
1117305000,20,11,ff71fdd7
1117315000,20,12,ff6f05e5
1117325000,20,13,003cfb00
1117335000,20,14,004201f6
1117345000,20,15,fff8ff73
1119225000,20,16,ffacffbd
1119235000,20,17,ff1b003e
1119245000,20,18,02fa0080
1119255000,20,19,fc71ff9a
1119265000,20,20,01a5fffe
1119275000,20,21,fd0e0185
1119285000,20,22,0317fb5e
1119295000,20,23,008f0467
1119305000,20,24,fde000c9
1119315000,20,25,ff53fc18
1119325000,20,26,015c00f0
1119335000,20,27,ffe5ffee
1119345000,20,28,01330324
1119355000,20,29,fea8fd81
1119365000,20,30,ffff00ca
1119375000,20,31,00970015
1121255000,21,0,ffc9002e
1121265000,21,1,ffe6feb8
1121275000,21,2,ffd70220
1121285000,21,3,00d5ff2d
1121295000,21,4,feebffa0
1121305000,21,5,01c4013c
1121315000,21,6,fdc2fdd0
1121325000,21,7,012800f7
1121335000,21,8,03410028
1121345000,21,9,f9ba013a
1121355000,21,10,0295fc90
1121365000,21,11,01450307
1121375000,21,12,ffb3fefe
1121385000,21,13,ff1c007e
1121395000,21,14,ffdaff2c
1121405000,21,15,008e0089
1123285000,21,16,004f0003
1123295000,21,17,ff8a000b
1123305000,21,18,018700c8
1123315000,21,19,ff36ff00
1123325000,21,20,ff5c010a
1123335000,21,21,ff46ff56
1123345000,21,22,00effe8b
1123355000,21,23,fe5d0180
1123365000,21,24,045dfd0d
1123375000,21,25,fcce0535
1123385000,21,26,0089fad0
1123395000,21,27,fe2401c6
1123405000,21,28,026c00c6
1123415000,21,29,00b2ff96
1123425000,21,30,fec500d5
1123435000,21,31,0001ff06
1125315000,22,0,ffc5ff8e
1125325000,22,1,0088005b
1125335000,22,2,ff08ff4c
1125345000,22,3,01fa009f
1125355000,22,4,fdc1ff0d
1125365000,22,5,021301a2
1125375000,22,6,fc94ff4d
1125385000,22,7,0369fd1e
1125395000,22,8,ffd902cc
1125405000,22,9,fcfa010d
1125415000,22,10,ffe0ff5e
1125425000,22,11,03e8fdfb
1125435000,22,12,fd91030d
1125445000,22,13,00ebfe4e
1125455000,22,14,ff6c001d
1125465000,22,15,005d0068
1127345000,22,16,ffd1ffc9
1127355000,22,17,00610065
1127365000,22,18,ffb4014e
1127375000,22,19,0102fce5
1127385000,22,20,fddb02e3
1127395000,22,21,01bdfe7a
1127405000,22,22,ff6901ff
1127415000,22,23,fc5fff63
1127425000,22,24,03c7fba5
1127435000,22,25,ffc503df
1127445000,22,26,012cfe44
1127455000,22,27,fcb2020f
1127465000,22,28,03110073
1127475000,22,29,fdf1feb2
1127485000,22,30,010300d3
1127495000,22,31,ffb9ffb1
1129375000,23,0,0037ffd5
1129385000,23,1,ffb900c4
1129395000,23,2,0019fe0b
1129405000,23,3,0158021a
1129415000,23,4,fdcdffa9
1129425000,23,5,0174fe79
1129435000,23,6,fd7d008d
1129445000,23,7,04d401c4
1129455000,23,8,fd3dfd35
1129465000,23,9,fd250252
1129475000,23,10,03e5ffa3
1129485000,23,11,fefcfe36
1129495000,23,12,012302dd
1129505000,23,13,fd8efd91
1129515000,23,14,018900e5
1129525000,23,15,ff90001c
1131405000,23,16,000bff9a
1131415000,23,17,ffc10058
1131425000,23,18,015700d3
1131435000,23,19,fe57fe9f
1131445000,23,20,01270152
1131455000,23,21,fbd500e2
1131465000,23,22,0505fe23
1131475000,23,23,fcc2fcb5
1131485000,23,24,031102e6
1131495000,23,25,fcf90194
1131505000,23,26,fffdfcd5
1131515000,23,27,020902c1
1131525000,23,28,ff09fe2e
1131535000,23,29,00d50112
1131545000,23,30,fec3ffed
1131555000,23,31,0012ffb3
1133435000,24,0,ffbbff9e
1133445000,24,1,009e0076
